,url,region,province,locality,zip_code,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
32,https://www.immoweb.be/en/classified/apartment/for-sale/herenthout/2270/10826759,Flanders,Antwerp,Herenthout,2270,APARTMENT,APARTMENT,319000.0,2.0,136.0,INSTALLED,False,,True,36.0,,,UNKNOWN,2,False,GOOD
33,https://www.immoweb.be/en/classified/apartment/for-sale/brugge/8200/10623928,Flanders,West Flanders,Brugge,8200,APARTMENT,APARTMENT,350000.0,3.0,129.0,0,,,,,,,UNKNOWN,,,GOOD
34,https://www.immoweb.be/en/classified/villa/for-sale/charleroi%20jumet/6040/10826758,Wallonie,Hainaut,Charleroi Jumet,6040,HOUSE,VILLA,390000.0,6.0,260.0,INSTALLED,,,True,50.0,True,1500.0,1600,4,,AS_NEW
35,https://www.immoweb.be/en/classified/house/for-sale/olsene/9870/10826752,Flanders,East Flanders,Olsene,9870,HOUSE,HOUSE,199000.0,4.0,174.0,0,False,,,,,,215,3,False,TO_RENOVATE
36,https://www.immoweb.be/en/classified/house/for-sale/roeselare/8800/10826745,Flanders,West Flanders,Roeselare,8800,HOUSE,HOUSE,139000.0,3.0,143.0,SEMI_EQUIPPED,False,,True,,,,136,2,,TO_BE_DONE_UP
37,https://www.immoweb.be/en/classified/house/for-sale/beveren%20leie/8791/10826744,Flanders,West Flanders,Beveren Leie,8791,HOUSE,HOUSE,135912.0,3.0,137.0,0,False,,,,,,283,2,False,TO_RENOVATE
38,https://www.immoweb.be/en/classified/house/for-sale/thuin/6530/10826743,Wallonie,Hainaut,Thuin,6530,HOUSE,HOUSE,142500.0,4.0,154.0,INSTALLED,False,,,,,,102,4,,
39,https://www.immoweb.be/en/classified/house/for-sale/aywaille/4920/10826742,Wallonie,Liège,Aywaille,4920,HOUSE,HOUSE,435000.0,4.0,153.0,INSTALLED,False,,True,,,,5630,4,,
40,https://www.immoweb.be/en/classified/house/for-sale/de%20haan/8420/10826741,Flanders,West Flanders,De Haan,8420,HOUSE,HOUSE,525000.0,5.0,500.0,0,False,,,,,,900,2,False,TO_RENOVATE
41,https://www.immoweb.be/en/classified/house/for-sale/vinalmont/4520/10826740,Wallonie,Liège,VINALMONT,4520,HOUSE,HOUSE,299000.0,3.0,166.0,0,,-1.0,True,,True,,1580,4,,GOOD
42,https://www.immoweb.be/en/classified/villa/for-sale/begijnendijk/3130/10826738,Flanders,Flemish Brabant,Begijnendijk,3130,HOUSE,VILLA,595000.0,3.0,,0,False,1.0,True,,,,1700,,False,GOOD
43,https://www.immoweb.be/en/classified/house/for-sale/wielsbeke/8710/10826734,Flanders,West Flanders,Wielsbeke,8710,HOUSE,HOUSE,345000.0,4.0,224.0,INSTALLED,False,,,,,,312,2,False,GOOD
44,https://www.immoweb.be/en/classified/flat-studio/for-sale/middelkerke/8430/10826724,Flanders,West Flanders,Middelkerke,8430,APARTMENT,FLAT_STUDIO,139000.0,0.0,30.0,INSTALLED,False,,True,2.0,,,,2,False,AS_NEW
45,https://www.immoweb.be/en/classified/apartment/for-sale/middelkerke/8430/10826723,Flanders,West Flanders,Middelkerke,8430,APARTMENT,APARTMENT,274000.0,1.0,51.0,INSTALLED,False,,True,6.0,,,,2,False,AS_NEW
46,https://www.immoweb.be/en/classified/house/for-sale/heist-aan-zee/8301/10826722,Flanders,West Flanders,Heist-aan-Zee,8301,HOUSE,HOUSE,375000.0,3.0,187.0,HYPER_EQUIPPED,False,,True,6.0,True,103.0,215,2,False,TO_BE_DONE_UP
47,https://www.immoweb.be/en/classified/penthouse/for-sale/hoogstraten/2320/10826720,Flanders,Antwerp,Hoogstraten,2320,APARTMENT,PENTHOUSE,685000.0,3.0,164.0,INSTALLED,False,,True,43.0,,,UNKNOWN,4,False,GOOD
48,https://www.immoweb.be/en/classified/house/for-sale/diksmuide/8600/10825925,Flanders,West Flanders,Diksmuide,8600,HOUSE,HOUSE,225000.0,4.0,195.0,0,False,,,,,,321,2,False,TO_RENOVATE
49,https://www.immoweb.be/en/classified/apartment/for-sale/wilrijk/2610/10826718,Flanders,Antwerp,Wilrijk,2610,APARTMENT,APARTMENT,298000.0,3.0,105.0,HYPER_EQUIPPED,False,,True,,,,,4,False,AS_NEW
50,https://www.immoweb.be/en/classified/house/for-sale/zele/9240/10826717,Flanders,East Flanders,Zele,9240,HOUSE,HOUSE,245000.0,4.0,143.0,,False,,True,10.0,,,347,3,False,TO_RENOVATE
51,https://www.immoweb.be/en/classified/ground-floor/for-sale/wolvertem/1861/10826715,Flanders,Flemish Brabant,Wolvertem,1861,APARTMENT,GROUND_FLOOR,354000.0,3.0,129.0,0,False,,,,,,,4,False,GOOD
52,https://www.immoweb.be/en/classified/apartment/for-sale/wenduine/8420/10826713,Flanders,West Flanders,Wenduine,8420,APARTMENT,APARTMENT,125000.0,0.0,40.0,0,False,,,,,,UNKNOWN,2,False,TO_RENOVATE
53,https://www.immoweb.be/en/classified/apartment/for-sale/dendermonde/9200/10826710,Flanders,East Flanders,Dendermonde,9200,APARTMENT,APARTMENT,460000.0,4.0,200.0,,False,,,,True,203.0,UNKNOWN,2,False,TO_BE_DONE_UP
54,https://www.immoweb.be/en/classified/house/for-sale/schaerbeek/1030/10826709,Brussels,Brussels,Schaerbeek,1030,HOUSE,HOUSE,349000.0,5.0,171.0,INSTALLED,False,,,,True,22.0,0,4,,
55,https://www.immoweb.be/en/classified/house/for-sale/waterloo/1410/10826707,Wallonie,Walloon Brabant,Waterloo,1410,HOUSE,HOUSE,715000.0,4.0,200.0,HYPER_EQUIPPED,False,1.0,True,,True,,1488,3,,AS_NEW
56,https://www.immoweb.be/en/classified/house/for-sale/wenduine/8420/10826706,Flanders,West Flanders,Wenduine,8420,HOUSE,HOUSE,149000.0,2.0,112.0,0,False,,,,,,127,2,False,TO_RENOVATE
57,https://www.immoweb.be/en/classified/house/for-sale/li%C3%A8ge/4031/10826704,Wallonie,Liège,Liège,4031,HOUSE,HOUSE,249000.0,1.0,95.0,INSTALLED,,-1.0,,,True,93.0,149,2,,JUST_RENOVATED
58,https://www.immoweb.be/en/classified/house/for-sale/tervuren/3080/10826696,Flanders,Flemish Brabant,Tervuren,3080,HOUSE,HOUSE,470000.0,3.0,151.0,,False,,,,,,570,4,False,
59,https://www.immoweb.be/en/classified/apartment/for-sale/lier/2500/10826689,Flanders,Antwerp,Lier,2500,APARTMENT,APARTMENT,425000.0,3.0,159.0,INSTALLED,,-1.0,True,,,,,2,,GOOD
